SVSPP,scientific_name,ITISSPP,NESPP3,SPECIES_ITIS,COMMON_NAME,SCIENTIFIC_NAME
NA,NA,NA,733,095966,"SHRIMP,ROYAL RED",PLEOTICUS ROBUSTUS
NA,NA,NA,708,098734,"CRAB,GREEN",CARCINUS MAENAS
NA,NA,NA,415,161989,"TROUT,RAINBOW",ONCORHYNCHUS MYKISS
NA,NA,NA,459,169007,TRIPLETAIL,LOBOTES SURINAMENSIS
NA,NA,NA,98,166339,RIBBONFISHES,TRACHIPTERIDAE
NA,NA,NA,98,166342,DEALFISH (RIBBONFISH),TRACHIPTERUS ARCTICUS
NA,NA,NA,272,168708,POMPANO,TRACHINOTUS CAROLINUS
NA,NA,NA,65,164037,"CATFISH,WHITE",ICTALURIDAE 
NA,NA,NA,64,164029,"CATFISH,FLATHEAD",PYLODICTIS OLIVARIS
NA,NA,NA,45,163996,BULLHEADS,ICTALURUS
NA,NA,NA,834,083677,"CRUSTACEANS,UNC",CRUSTACEA
NA,NA,NA,373,564037,"SKATES,LITTLE/WINTER MIXED",LEUCORAJA
NA,NA,NA,286,160946,STINGRAYS,DASYATIDAE 
NA,NA,NA,491,160189,"SHARK,TIGER",GALEOCERDO CUVIER
NA,NA,NA,495,160497,"SHARK,HAMMERHEAD",SPHYRNIDAE
NA,NA,NA,392,166680,"SNAKEHEAD,NORTHERN  ",CHANNA ARGUS
NA,NA,NA,457,173138,"TRIGGERFISH,GRAY",BALISTES CAPRISCUS
NA,NA,NA,420,553269,"STURGEON,ATLANTIC",ACIPENSER OXYRINCHUS
NA,NA,NA,714,098671,"CRAB,CANCER SPP. UNC",CANCER
NA,NA,NA,497,160267,"SHARK,CARCHARHIN,NK",CARCHARHINUS
NA,NA,NA,737,099140,MANTIS SHRIMPS,STOMATOPODA
NA,NA,NA,24,166170,SQUIRRELFISHES,HOLOCENTRIDAE
NA,NA,NA,133,161092,GARFISHES,LEPISOSTEIDAE
NA,NA,NA,806,158140,SEA CUCUMBER,HOLOTHUROIDEA
NA,NA,NA,479,160505,"SHARK,SMOOTH HAMMERHEAD",SPHYRNA ZYGAENA
NA,NA,NA,0,NA,NA,NA
NA,NA,NA,499,160409,"SHARK,FINETOOTH",CARCHARHINUS ISODON
NA,NA,NA,386,160515,"SHARK,GREAT HAMMERHEAD",SPHYRNA MOKARRAN
NA,NA,NA,376,168853,"SNAPPER,RED",LUTJANUS CAMPECHANUS
NA,NA,NA,828,156862,STARFISH,ASTEROIDEA
NA,NA,NA,170,161701,"HERRING,RIVER",ALOSA
NA,NA,NA,271,170287,POMFRETS,BRAMIDAE
NA,NA,NA,218,172486,"MARLIN,UNC",ISTIOPHORIDAE
NA,NA,NA,26,167702,"GROUPER,RED",EPINEPHELUS MORIO 
NA,NA,NA,430,173289,"PUFFERS,(SEA CHICKEN)",SPHOEROIDES
NA,NA,NA,778,074075,"WHELK,LIGHTNING",BUSYCON SINISTRUM
NA,NA,NA,249,166326,OPAH,LAMPRIS GUTTATUS
NA,NA,NA,780,072878,SNAILS(MOON),"NATICIDAE"
NA,NA,NA,804,069458,"MOLLUSKS,UNC",MOLLUSCA
NA,NA,NA,243,166781,"REDFISH,GOLDEN",SEBASTES NORVEGICUS
NA,NA,NA,189,166271,"DORY,NK",ZEIFORMES
NA,NA,NA,738,095602,"SHRIMP,ATLANTIC & GULF,BROWN",PANAEIDAE
